id,name,grammy number (album),role,sex,year of birth
rr,RickRubin,6,1,2,1963
es,EdSheeran,1,2,2,1991
ad,Adele,4,2,1,1988
tc,TheChicks,5,2,1,1974
rhcp,RedHotChiliPeppers,1,2,2,1962
jc,JohnnyCash,2,2,2,1932
ts,TheStrokes,1,2,2,1978
pe,PaulEpworth,3,1,2,1971
rt,RyanTedder,3,1,2,1979
ja,JimAbbiss,1,1,2,1953
fts,FraserTSmith,1,1,2,1971
dw,DanWilson,1,1,2,1961
gk,GregKurstin,5,1,2,1969
kjs,KarlJohanSchuster,3,1,2,1985
mm,MaxMartin,3,1,2,1971
ar,ArielRechtshaid,3,1,2,1979
bb,BrianBurton,3,1,2,1977
sd,SamuelDixon,1,1,2,1973
bm,BrunoMars,4,1,2,1985
pl,PhilipLawrence,3,1,2,1980